event_time,beta,se,z,n,omitted,outcome,spec
2,-0.4623463190177494,0.19741870590089738,-2.3419580070079253,1390,False,total_suicide_rate,ra
3,0.8595750604376958,0.6154042924819876,1.3967648112608102,1390,False,total_suicide_rate,ra
4,-0.7390567669379351,0.33681437107419954,-2.1942554427854932,1390,False,total_suicide_rate,ra
5,0.13454546153634325,0.5782065232952124,0.23269447181184597,1390,False,total_suicide_rate,ra
-5,0.8908107548522657,0.45179396506220526,1.9717190218103386,1390,False,total_suicide_rate,eb
-4,1.320687399356641,0.5360422374853282,2.4637748800397263,1390,False,total_suicide_rate,eb
-3,-0.5827490559354522,0.5473886881912482,-1.0645982799919491,1390,False,total_suicide_rate,eb
-2,-0.16264704347317233,0.4747236018218296,-0.34261419244585195,1390,False,total_suicide_rate,eb
-1,0.0,0.0,0.0,0,True,total_suicide_rate,eb
0,-0.5383878338372099,0.4328589586183251,-1.2437950586854674,1390,False,total_suicide_rate,eb
1,-0.20634060596319045,0.4816074259881626,-0.42844149576767965,1390,False,total_suicide_rate,eb
2,0.0732797584224807,0.6975896892901357,0.10504707788478049,1390,False,total_suicide_rate,eb
3,1.242681058109927,1.4292995451113106,0.8694336063845524,1390,False,total_suicide_rate,eb
4,-1.845962636732915,0.5832706288415672,-3.1648475775287674,1390,False,total_suicide_rate,eb
5,-0.764502902801162,0.5136310496844079,-1.4884281300184212,1390,False,total_suicide_rate,eb
-5,0.3166107869581857,0.2614418583759244,1.2110179637069995,1386,False,firearm_homicide_rate,unweighted
-4,0.27624451374573245,0.28785531935794345,0.9596644396285303,1386,False,firearm_homicide_rate,unweighted
-3,0.4586903864521441,0.2387427076690823,1.9212749613610314,1386,False,firearm_homicide_rate,unweighted
-2,0.4391054127409978,0.34282263157171017,1.2808530484929423,1386,False,firearm_homicide_rate,unweighted
-1,0.0,0.0,0.0,0,True,firearm_homicide_rate,unweighted
0,-0.3671310093502708,0.31325904599753385,-1.1719725704366766,1386,False,firearm_homicide_rate,unweighted
1,-0.3777680626722194,0.365100551699462,-1.0346959513311962,1386,False,firearm_homicide_rate,unweighted
2,-0.7116499030971187,0.40687638800526316,-1.7490567751695465,1386,False,firearm_homicide_rate,unweighted
3,-0.8414009967263139,0.4807714955724182,-1.7501058288085931,1386,False,firearm_homicide_rate,unweighted
4,-0.7089106543816244,0.2289613316236493,-3.0962025305953516,1386,False,firearm_homicide_rate,unweighted
5,-0.4773579693999736,0.45881018045816435,-1.0404258443508982,1386,False,firearm_homicide_rate,unweighted
-5,0.21216716102447056,0.2567733212865997,0.8262819515726029,1386,False,firearm_homicide_rate,ra
-4,0.15134723743125358,0.3047018751476302,0.4967059600730215,1386,False,firearm_homicide_rate,ra
-3,0.4446105996369027,0.2965763358052946,1.4991438829050545,1386,False,firearm_homicide_rate,ra
-2,0.5719477233661767,0.3339220648314607,1.7128180003763869,1386,False,firearm_homicide_rate,ra
-1,0.0,0.0,0.0,0,True,firearm_homicide_rate,ra
0,-0.3225184165385466,0.301517493691531,-1.0696507608560208,1386,False,firearm_homicide_rate,ra
1,-0.36270729923729494,0.33469370103694446,-1.0836992094967999,1386,False,firearm_homicide_rate,ra
2,-0.7253759402842817,0.3969462992238861,-1.8273906110286076,1386,False,firearm_homicide_rate,ra
3,-0.9425584855159509,0.6329008483130172,-1.4892672178087911,1386,False,firearm_homicide_rate,ra
4,-0.7208148243743476,0.3235492310578864,-2.227836617066125,1386,False,firearm_homicide_rate,ra
5,-0.5030295468202617,0.6472555422100313,-0.7771730236603073,1386,False,firearm_homicide_rate,ra
-5,6.924871101977603e-05,0.44106565842020146,0.000157003180133791,1386,False,firearm_homicide_rate,eb
-4,-0.10560079188581409,0.12940431128646437,-0.816053119374392,1386,False,firearm_homicide_rate,eb
-3,-0.049888073408357,0.4599401273292826,-0.10846645127060393,1386,False,firearm_homicide_rate,eb
-2,0.6646678168756329,0.42038026068802103,1.5811109108400936,1386,False,firearm_homicide_rate,eb
-1,0.0,0.0,0.0,0,True,firearm_homicide_rate,eb
0,-0.46777471527544473,0.2698236882577703,-1.7336310177057772,1386,False,firearm_homicide_rate,eb
1,-0.3832702147015106,0.37390805994348403,-1.0250386545811334,1386,False,firearm_homicide_rate,eb
2,-0.33044555032823125,0.03175026815422094,-10.407645967686141,1386,False,firearm_homicide_rate,eb
3,-0.3625330286000001,0.47015982275409907,-0.7710846632456949,1386,False,firearm_homicide_rate,eb
4,0.14315013003401353,0.1697476968494669,0.8433111770639208,1386,False,firearm_homicide_rate,eb
5,-0.19775196080867358,0.524507118212917,-0.3770243604747394,1386,False,firearm_homicide_rate,eb
-5,0.22162463410589203,0.16665704225068345,1.3298245973460097,1390,False,homicide_rate,unweighted
-4,0.09227267878419604,0.14185847423313494,0.6504558806444798,1390,False,homicide_rate,unweighted
-3,0.29760769908432394,0.2838883277495486,1.0483266481701876,1390,False,homicide_rate,unweighted
-2,0.4058788847829429,0.21975788591331882,1.8469366097880897,1390,False,homicide_rate,unweighted
-1,0.0,0.0,0.0,0,True,homicide_rate,unweighted
0,-0.5198272338781359,0.39582340778890446,-1.3132806793360832,1390,False,homicide_rate,unweighted
1,-0.24372627434801833,0.33859910767581414,-0.7198077869164671,1390,False,homicide_rate,unweighted
2,-0.3818692946690162,0.24705709568738426,-1.5456722406881107,1390,False,homicide_rate,unweighted
3,-1.316703804587734,0.395391222332351,-3.3301290727212,1390,False,homicide_rate,unweighted
4,-0.1342261331563913,0.29638550509708544,-0.45287684737626943,1390,False,homicide_rate,unweighted
5,-0.246086894555799,0.3201530650631819,-0.7686538765675536,1390,False,homicide_rate,unweighted
-5,0.10522361369951107,0.20626982263289487,0.5101260686435019,1390,False,homicide_rate,ra
-4,-0.027540031058602737,0.16574063812897746,-0.1661634187577545,1390,False,homicide_rate,ra
-3,0.2480116138677171,0.2932872222751071,0.8456270680455321,1390,False,homicide_rate,ra
-2,0.47160863393316427,0.22229572225324934,2.121537153989344,1390,False,homicide_rate,ra
-1,0.0,0.0,0.0,0,True,homicide_rate,ra
0,-0.46089785195142996,0.39409251924986927,-1.1695168759577586,1390,False,homicide_rate,ra
1,-0.22342867169487504,0.3007237556894992,-0.7429698102253277,1390,False,homicide_rate,ra
2,-0.3876533578921759,0.25981139646091994,-1.4920567887809555,1390,False,homicide_rate,ra
3,-1.2484845618835119,0.39286485895980666,-3.1778982859122102,1390,False,homicide_rate,ra
4,-0.09874704186684155,0.3684813592384939,-0.2679838189668885,1390,False,homicide_rate,ra
5,-0.25265681094831854,0.4012878164388249,-0.6296149561441652,1390,False,homicide_rate,ra
-5,-0.08718313696843363,0.3676416812044635,-0.2371416012537132,1390,False,homicide_rate,eb
-4,0.1736299736758253,0.20399477528105747,0.8511491210331416,1390,False,homicide_rate,eb
-3,0.3447597736301054,0.5462727722944706,0.6311128636011557,1390,False,homicide_rate,eb
-2,0.08001338093692319,0.41423783570120953,0.1931580701735729,1390,False,homicide_rate,eb
-1,0.0,0.0,0.0,0,True,homicide_rate,eb
0,-0.8169837811947618,0.44056406827885325,-1.8544040243373983,1390,False,homicide_rate,eb
1,-0.6006405864650262,0.41257336787945964,-1.4558394536035917,1390,False,homicide_rate,eb
2,-0.1851209209652723,0.15002777996421818,-1.2339109530876473,1390,False,homicide_rate,eb
3,-0.3189653110002402,0.33023573274793916,-0.9658715861729555,1390,False,homicide_rate,eb
4,1.2920630877812254,0.2701736624512121,4.782342868134106,1390,False,homicide_rate,eb
5,0.0546976655163737,0.31033158068520916,0.17625555670358065,1390,False,homicide_rate,eb
-5,-24.754968241611085,16.46947277712349,-1.503082009765143,1390,False,motor_vehicle_theft_rate,unweighted
-4,-21.477408088061594,15.501132861392685,-1.3855379655220874,1390,False,motor_vehicle_theft_rate,unweighted
-3,-27.529599586943608,18.66458417283312,-1.4749645281148986,1390,False,motor_vehicle_theft_rate,unweighted
-2,-32.25458384085088,15.935500017628451,-2.0240710241391637,1390,False,motor_vehicle_theft_rate,unweighted
-1,0.0,0.0,0.0,0,True,motor_vehicle_theft_rate,unweighted
0,38.91877841397187,29.837687915807074,1.3043496709191706,1390,False,motor_vehicle_theft_rate,unweighted
1,34.78306458400156,35.89963254388766,0.9688975100644529,1390,False,motor_vehicle_theft_rate,unweighted
2,0.021597082343535162,12.195042365148304,0.0017709723096376074,1390,False,motor_vehicle_theft_rate,unweighted
3,19.295690855163812,20.258683616875942,0.9524651857976628,1390,False,motor_vehicle_theft_rate,unweighted
4,33.80413559711968,27.48930338065102,1.229719615991197,1390,False,motor_vehicle_theft_rate,unweighted
5,27.058742804482844,28.79593742818724,0.9396722323058001,1390,False,motor_vehicle_theft_rate,unweighted
-5,-25.339140958831454,17.563580092594762,-1.4427093351836087,1390,False,motor_vehicle_theft_rate,ra
-4,-21.319890446390268,15.413275268147624,-1.383216096221222,1390,False,motor_vehicle_theft_rate,ra
-3,-30.30458456438535,18.577563819094202,-1.6312464249611676,1390,False,motor_vehicle_theft_rate,ra
-2,-36.164883012203504,16.568549412726856,-2.1827428648897924,1390,False,motor_vehicle_theft_rate,ra
-1,0.0,0.0,0.0,0,True,motor_vehicle_theft_rate,ra
0,39.02412554507197,30.003229211089298,1.3006641808625226,1390,False,motor_vehicle_theft_rate,ra
1,35.99570984668335,35.65903343019635,1.0094415463376496,1390,False,motor_vehicle_theft_rate,ra
2,2.479610523651993,13.805409217528235,0.17961151926621052,1390,False,motor_vehicle_theft_rate,ra
3,25.296745535754056,23.089736733831927,1.0955839742723588,1390,False,motor_vehicle_theft_rate,ra
4,38.210719152865614,29.392697963143636,1.3000072058978442,1390,False,motor_vehicle_theft_rate,ra
