county_fips,state_fips,lat,lon,nearest_other_state_fips,distance_to_nearest_other_state_km,nearest_other_state_county_fips
38061,38,48.134813,-102.385064,30,143.1454901137305,30083
38063,38,47.914125,-98.211495,27,123.87530502648858,27119
38065,38,47.120347,-101.30705,46,154.46775997052677,46031
38067,38,48.786353,-97.583136,27,59.46022342258714,27069
38069,38,48.327982,-99.985438,27,240.44794672061678,27069
38071,38,48.129972,-98.834617,27,165.81417657432993,27069
38073,38,46.473332,-97.654107,46,79.57768396743428,46091
38075,38,48.71223,-101.513019,30,218.64541324656383,30091
38077,38,46.265439,-96.76508,27,19.25255740176536,27167
38079,38,48.837585,-99.815657,27,222.97150442031847,27069
38081,38,46.166223,-97.587859,46,45.51569456673225,46091
38083,38,47.581765,-100.333635,46,198.7780597635763,46021
38085,38,46.166774,-100.727458,46,47.64092988228019,46031
38087,38,46.418394,-103.416249,30,69.31327179700476,30025
38089,38,46.883324,-102.784958,30,107.22358177478264,30109
38091,38,47.459852,-97.75048,27,96.02793113556203,27119
38093,38,46.917429,-98.73948,46,133.72442045365213,46089
38095,38,48.575593,-99.232995,27,181.23923166934287,27069
38097,38,47.489414,-97.221419,27,59.009491293735465,27107
38099,38,48.392384,-97.55615,27,68.51201068877612,27069
38101,38,48.251003,-101.324255,30,222.28715518572892,30083
38103,38,47.673531,-99.776162,46,209.64771202194748,46021
38105,38,48.198161,-103.581969,30,70.46481470424726,30083
39001,39,38.851155,-83.519185,21,35.05509938077151,21161
39003,39,40.757218,-84.123687,18,68.2870733981568,18001
39005,39,40.854406,-82.284305,54,150.64187893692934,54029
39007,39,41.792138,-80.769023,42,57.380519358044374,42039
39009,39,39.342729,-82.09958,54,49.67598239902035,54107
39011,39,40.543994,-84.27252,18,60.330899335054724,18001
39013,39,40.042452,-80.892944,54,19.202549747598585,54069
39015,39,38.952078,-83.892764,21,31.95338229356677,21023
39017,39,39.41063,-84.498421,21,42.36764828267072,21037
39019,39,40.608768,-81.114233,54,48.35054453180655,54029
39021,39,40.121157,-83.756495,18,105.56909100805254,18135
39023,39,39.927551,-83.83172,18,95.76037047125266,18177
39025,39,39.104936,-84.213831,21,21.06692600230578,21037
39027,39,39.411451,-83.84298,21,66.44551655343767,21037
39029,39,40.780285,-80.730613,54,36.3641892934015,54029
39031,39,40.291486,-81.863132,54,103.89412031631312,54069
39033,39,40.796314,-82.873456,26,133.13317447521356,26115
39035,39,41.448408,-81.677451,42,113.77009909422716,42085
