state,state_abbr,year,share_white_nh,share_black_nh,share_hispanic,share_male,share_age_15_24,share_age_25_44,median_hh_income_nominal,median_hh_income_real_2024,poverty_rate,income_interpolated,poverty_interpolated,share_bachelors_plus,education_source,education_interpolated,controls_source
Missouri,MO,1991,0.8682940495601782,0.10753019231179366,0.012285154243015878,0.4818753065762917,0.13916925337888272,0.31197087113229166,27437.5,63209.9886015912,0.1405,True,True,0.1862,interpolated,True,historical_demographic_mix
Missouri,MO,1992,0.8667443507366445,0.10825336764679266,0.012667881731779703,0.48240498174129126,0.1382809819461554,0.30879571849357085,27989.75,62578.84369276,0.14575,True,True,0.1944,interpolated,True,historical_demographic_mix
Missouri,MO,1993,0.8653343406347411,0.10899913837163504,0.013025422905262691,0.4826510660956589,0.137971463739154,0.3068920532204911,28542.0,61973.16541270117,0.151,False,False,0.2026,interpolated,True,historical_demographic_mix
Missouri,MO,1994,0.8639609967874762,0.10965355261658039,0.01346548496688067,0.48287663840418266,0.13795807245542022,0.3058392344475864,30121.5,63748.08114184517,0.14250000000000002,True,True,0.2108,interpolated,True,historical_demographic_mix
Missouri,MO,1995,0.8629687432506794,0.10998983963144719,0.013881392252202508,0.48327821192538045,0.1379939563648793,0.30470287964752346,31701.0,65260.06069014547,0.134,False,False,0.21899999999999997,cps_state_table,False,historical_demographic_mix
Missouri,MO,1996,0.8614917077256455,0.11045349679426993,0.014516696324513478,0.48371817742844114,0.1376377450498222,0.30370547969704287,32947.0,65890.11420389949,0.126,False,False,0.243,cps_state_table,False,historical_demographic_mix
Missouri,MO,1997,0.8598375880067607,0.11110809039870259,0.015252686600039615,0.48400579015086237,0.13831022210928456,0.30122100277911706,34502.0,67423.85389399367,0.122,False,False,0.22899999999999998,cps_state_table,False,historical_demographic_mix
Missouri,MO,1998,0.8584564185199176,0.1114832345819689,0.01605903528088507,0.4841421578273498,0.13963022398641156,0.2980709001570925,37186.0,71561.86304790144,0.11699999999999999,False,False,0.22399999999999998,cps_state_table,False,historical_demographic_mix
Missouri,MO,1999,0.8573422125698887,0.11173376627414033,0.01672830026234662,0.4845126617996181,0.14057196171853312,0.2945831073353549,37885.0,71342.40146573287,0.114,False,False,0.23,cps_state_table,False,historical_demographic_mix
Missouri,MO,2000,0.8387683165738856,0.11265541166536033,0.021375585510634825,0.4864204334183121,0.1403896894843048,0.2896182377032735,40411.0,73620.61625030247,0.106,False,False,0.262,cps_state_table,False,historical_demographic_mix
Missouri,MO,2001,0.8357348565237323,0.1131102532075952,0.02284005614466007,0.48672166025957153,0.14224265228565422,0.2848318656045177,39652.0,70258.9392591198,0.11,False,False,0.253,cps_state_table,False,historical_demographic_mix
Missouri,MO,2002,0.8327539615759076,0.11347275026102127,0.024287621204178104,0.4871249774222113,0.14339226319754353,0.28020652619243763,40309.0,70301.29392234988,0.113,False,False,0.267,cps_state_table,False,historical_demographic_mix
Missouri,MO,2003,0.829917243536671,0.11377284104835479,0.02572265436508861,0.4874147086832021,0.14440739250671217,0.2754165365450643,40870.0,69678.50038949276,0.11599999999999999,False,False,0.266,cps_state_table,False,historical_demographic_mix
Missouri,MO,2004,0.8269753282202521,0.11410169664917051,0.02714944880084193,0.48802755726119185,0.14512484122022895,0.27150666670610246,40885.0,67892.9791918479,0.13,False,False,0.281,cps_state_table,False,historical_demographic_mix
Missouri,MO,2005,0.824003246809319,0.11431635666545775,0.028663454397872302,0.48830457834654506,0.14513721223425383,0.26790114501839285,41946.0,67386.73591157392,0.136,False,False,0.23983377323705143,acs1,False,historical_demographic_mix
Missouri,MO,2006,0.8208974817139462,0.11458187852747632,0.030308740610511847,0.4886677469883807,0.14423167766157588,0.2647962313339851,42838.0,66671.52799603093,0.138,False,False,0.2425157984295744,acs1,False,historical_demographic_mix
Missouri,MO,2007,0.8181058806184919,0.11461692788179656,0.031849075652403726,0.489182880937127,0.14316619369618785,0.2619583287757413,45012.0,68100.21282489259,0.133,False,False,0.2452558094730818,acs1,False,historical_demographic_mix
Missouri,MO,2008,0.8154914755712269,0.11471651522405112,0.03325789899789261,0.48938556860022997,0.14219985563603535,0.2587540066402022,46847.0,68271.90642616039,0.135,False,False,0.2500625024100776,acs1,False,historical_demographic_mix
Missouri,MO,2009,0.8128462455175968,0.11491039890704516,0.03454402954628417,0.48968694976487515,0.1409197448519465,0.25627083512271587,45149.0,66008.81098860639,0.146,False,False,0.25219723937174277,acs1,False,historical_demographic_mix
Missouri,MO,2010,0.809819006041693,0.11508935625041798,0.03578802925268759,0.4898742813534046,0.13965154739686203,0.2542455872226374,44306.0,63733.2872490269,0.153,False,False,0.2559241266105692,acs1,False,historical_demographic_mix
Missouri,MO,2011,0.8055639005691355,0.1150690318375853,0.03703938436090116,0.4900906152032729,0.13930910606772867,0.2531574925302425,45231.0,63083.28528652028,0.158,False,False,0.26068801867206975,acs1,False,historical_demographic_mix
Missouri,MO,2012,0.801428568347063,0.1150606804714926,0.03831229954935784,0.4903046144569537,0.1393395061636213,0.25195093261971285,45320.0,61923.617960293035,0.162,False,False,0.2641065641790607,acs1,False,historical_demographic_mix
Missouri,MO,2013,0.7971794544282536,0.11516943723436501,0.039588961497072805,0.4906907800254401,0.13931583148136137,0.2513954316407258,46905.0,63163.34823627641,0.158,False,False,0.26956479198514166,acs1,False,historical_demographic_mix
Missouri,MO,2014,0.7928935120787821,0.11509865089493178,0.04093202795430447,0.4908858433564966,0.13876087334595943,0.2509934061132633,48288.0,63991.96110090193,0.155,False,False,0.27490190143316995,acs1,False,historical_demographic_mix
Missouri,MO,2015,0.7884597410324999,0.11504024317037724,0.04232279577479622,0.49112695357752173,0.1381519275122691,0.2505848226509678,50200.0,66445.28138153692,0.14800000000000002,False,False,0.27844788114454416,acs1,False,historical_demographic_mix
