event_time,beta,se,z,n,omitted,outcome,spec,tier
2,0.21089056075106674,0.17191211705166362,1.2267347082212314,3092,False,homicide_rate,unweighted,all
3,0.06859741635053533,0.1652622326728983,0.4150822316815085,3092,False,homicide_rate,unweighted,all
4,-0.2357212776058035,0.2250757482250061,-1.0472975407823821,3092,False,homicide_rate,unweighted,all
5,-0.07547401129216587,0.18603449244426526,-0.4056990201146564,3092,False,homicide_rate,unweighted,all
-5,-0.04239077102543501,0.2054473541577394,-0.206333983707028,3092,False,homicide_rate,ra,minimal
-4,-0.27688351130138716,0.20340285376695447,-1.3612567679046528,3092,False,homicide_rate,ra,minimal
-3,-0.03481813918399505,0.16716828777038173,-0.20828196333398113,3092,False,homicide_rate,ra,minimal
-2,-0.016986231839979268,0.1519065480113327,-0.1118202741247997,3092,False,homicide_rate,ra,minimal
-1,0.0,0.0,0.0,0,True,homicide_rate,ra,minimal
0,0.0520086861188762,0.1446678418604604,0.35950412648749724,3092,False,homicide_rate,ra,minimal
1,0.35587411061648944,0.14751915994009268,2.4123924699748116,3092,False,homicide_rate,ra,minimal
2,0.19000465186969723,0.17090748878313355,1.1117397676517047,3092,False,homicide_rate,ra,minimal
3,0.10495253641296297,0.16104668317382842,0.6516901456435504,3092,False,homicide_rate,ra,minimal
4,-0.20319177142635164,0.2177629574769863,-0.9330869390301398,3092,False,homicide_rate,ra,minimal
5,-0.03746490415631654,0.18365382334212563,-0.20399740922639983,3092,False,homicide_rate,ra,minimal
-5,0.01998331014391085,0.23021485572080166,0.08680286978589281,3092,False,homicide_rate,eb,minimal
-4,-0.16883839180315582,0.211887818684239,-0.7968291563507168,3092,False,homicide_rate,eb,minimal
-3,0.013122792639648644,0.17813936605268993,0.07366587706260948,3092,False,homicide_rate,eb,minimal
-2,-0.038064757631864045,0.14634799189658745,-0.2600975738619044,3092,False,homicide_rate,eb,minimal
-1,0.0,0.0,0.0,0,True,homicide_rate,eb,minimal
0,0.01789103540466074,0.14226866677984784,0.12575527563174563,3092,False,homicide_rate,eb,minimal
1,0.30908150728304223,0.14854223987795992,2.0807650910406292,3092,False,homicide_rate,eb,minimal
2,0.21089056075106674,0.17191211705166362,1.2267347082212314,3092,False,homicide_rate,eb,minimal
3,0.06859741635053533,0.1652622326728983,0.4150822316815085,3092,False,homicide_rate,eb,minimal
