estimator,policy,control_rule,spec,event_time,M_sensitivity,att_original,se_original,pre_trend_slope_b_hat,pre_trend_slope_se,att_trend_adjusted,ci_half_width,ci_low,ci_high,ci_includes_zero
stackdd,age21_handgun,single,eb,2,2.0,0.4005823319821848,0.6624793435966722,0.339036680896855,0.1472109407127163,-1.6336377533989452,2.164036238809949,-3.797673992208894,0.5303984854110033,True
stackdd,age21_handgun,single,eb,3,0.0,-0.1737799506682745,0.2489911742698315,0.339036680896855,0.1472109407127163,-0.1737799506682745,0.4880227015688697,-0.6618026522371443,0.3142427509005952,True
stackdd,age21_handgun,single,eb,3,0.5,-0.1737799506682745,0.2489911742698315,0.339036680896855,0.1472109407127163,-0.8518533124619845,0.7557594524740189,-1.6076127649360037,-0.0960938599879656,False
stackdd,age21_handgun,single,eb,3,1.0,-0.1737799506682745,0.2489911742698315,0.339036680896855,0.1472109407127163,-1.5299266742556945,1.2530725949742818,-2.7829992692299763,-0.2768540792814127,False
stackdd,age21_handgun,single,eb,3,2.0,-0.1737799506682745,0.2489911742698315,0.339036680896855,0.1472109407127163,-2.8860733978431146,2.3592933775523948,-5.245366775395509,-0.5267800202907198,False
stackdd,age21_handgun,single,eb,4,0.0,-0.7871362383846878,0.4234297142240855,0.339036680896855,0.1472109407127163,-0.7871362383846878,0.8299222398792075,-1.6170584782638953,0.0427860014945197,True
stackdd,age21_handgun,single,eb,4,0.5,-0.7871362383846878,0.4234297142240855,0.339036680896855,0.1472109407127163,-1.6347279406268254,1.0995876956520223,-2.734315636278848,-0.5351402449748028,False
stackdd,age21_handgun,single,eb,4,1.0,-0.7871362383846878,0.4234297142240855,0.339036680896855,0.1472109407127163,-2.482319642868963,1.6643496114034868,-4.1466692542724495,-0.8179700314654761,False
stackdd,age21_handgun,single,eb,4,2.0,-0.7871362383846878,0.4234297142240855,0.339036680896855,0.1472109407127163,-4.1775030473532375,3.0023200600830995,-7.179823107436337,-1.175182987270138,False
stackdd,age21_handgun,single,eb,5,0.0,-0.4725198731718876,0.3046030310431733,0.339036680896855,0.1472109407127163,-0.4725198731718876,0.5970219408446197,-1.0695418140165072,0.124502067672732,True
stackdd,age21_handgun,single,eb,5,0.5,-0.4725198731718876,0.3046030310431733,0.339036680896855,0.1472109407127163,-1.4896299158624526,1.051522292466351,-2.5411522083288034,-0.4381076233961016,False
stackdd,age21_handgun,single,eb,5,1.0,-0.4725198731718876,0.3046030310431733,0.339036680896855,0.1472109407127163,-2.506739958553018,1.831253923590372,-4.33799388214339,-0.6754860349626459,False
stackdd,age21_handgun,single,eb,5,2.0,-0.4725198731718876,0.3046030310431733,0.339036680896855,0.1472109407127163,-4.540960043934148,3.5134965685355235,-8.054456612469671,-1.0274634753986245,False
stackdd,age21_handgun,single,ra,0,0.0,0.4303593227138142,0.1469885711212029,0.1297532390986886,0.1460179505191974,0.4303593227138142,0.2880975993975577,0.1422617233162565,0.7184569221113719,False
stackdd,age21_handgun,single,ra,0,0.5,0.4303593227138142,0.1469885711212029,0.1297532390986886,0.1460179505191974,0.3654827031644699,0.3216786400652969,0.0438040630991729,0.6871613432297669,False
stackdd,age21_handgun,single,ra,0,1.0,0.4303593227138142,0.1469885711212029,0.1297532390986886,0.1460179505191974,0.3006060836151256,0.4060885489165246,-0.1054824653013989,0.7066946325316503,True
stackdd,age21_handgun,single,ra,0,2.0,0.4303593227138142,0.1469885711212029,0.1297532390986886,0.1460179505191974,0.170852844516437,0.6408049296850078,-0.4699520851685708,0.8116577742014448,True
stackdd,age21_handgun,single,ra,1,0.0,-0.1772082696831466,0.1480077272293887,0.1297532390986886,0.1460179505191974,-0.1772082696831466,0.2900951453696018,-0.4673034150527484,0.1128868756864552,True
stackdd,age21_handgun,single,ra,1,0.5,-0.1772082696831466,0.1480077272293887,0.1297532390986886,0.1460179505191974,-0.3069615087818352,0.4075081301636857,-0.714469638945521,0.1005466213818505,True
stackdd,age21_handgun,single,ra,1,1.0,-0.1772082696831466,0.1480077272293887,0.1297532390986886,0.1460179505191974,-0.4367147478805238,0.6417054811180769,-1.078420228998601,0.2049907332375531,True
stackdd,age21_handgun,single,ra,1,2.0,-0.1772082696831466,0.1480077272293887,0.1297532390986886,0.1460179505191974,-0.696221226077901,1.1809649096763624,-1.8771861357542636,0.4847436835984613,True
stackdd,age21_handgun,single,ra,2,0.0,0.1862769265209888,0.6449197769821127,0.1297532390986886,0.1460179505191974,0.1862769265209888,1.2640427628849409,-1.0777658363639522,1.4503196894059296,True
stackdd,age21_handgun,single,ra,2,0.5,0.1862769265209888,0.6449197769821127,0.1297532390986886,0.1460179505191974,-0.0083529321270441,1.334951831588842,-1.343304763715886,1.326598899461798,True
stackdd,age21_handgun,single,ra,2,1.0,0.1862769265209888,0.6449197769821127,0.1297532390986886,0.1460179505191974,-0.202982790775077,1.528061926573734,-1.731044717348811,1.325079135798657,True
stackdd,age21_handgun,single,ra,2,2.0,0.1862769265209888,0.6449197769821127,0.1297532390986886,0.1460179505191974,-0.5922425080711428,2.1322478013991577,-2.7244903094703004,1.540005293328015,True
stackdd,age21_handgun,single,ra,3,0.0,-0.0994688131385794,0.2413113084997683,0.1297532390986886,0.1460179505191974,-0.0994688131385794,0.4729701646595459,-0.5724389777981252,0.3735013515209665,True
stackdd,age21_handgun,single,ra,3,0.5,-0.0994688131385794,0.2413113084997683,0.1297532390986886,0.1460179505191974,-0.3589752913359566,0.742517008416676,-1.1014922997526326,0.3835417170807194,True
stackdd,age21_handgun,single,ra,3,1.0,-0.0994688131385794,0.2413113084997683,0.1297532390986886,0.1460179505191974,-0.6184817695333338,1.2386378410084065,-1.85711961054174,0.6201560714750727,True
stackdd,age21_handgun,single,ra,3,2.0,-0.0994688131385794,0.2413113084997683,0.1297532390986886,0.1460179505191974,-1.1374947259280883,2.33790343571706,-3.475398161645148,1.2004087097889713,True
stackdd,age21_handgun,single,ra,4,0.0,-0.655268418492494,0.412686341034194,0.1297532390986886,0.1460179505191974,-0.655268418492494,0.8088652284270202,-1.4641336469195143,0.1535968099345263,True
stackdd,age21_handgun,single,ra,4,0.5,-0.655268418492494,0.412686341034194,0.1297532390986886,0.1460179505191974,-0.9796515162392154,1.0799009098750112,-2.0595524261142266,0.1002493936357957,True
stackdd,age21_handgun,single,ra,4,1.0,-0.655268418492494,0.412686341034194,0.1297532390986886,0.1460179505191974,-1.304034613985937,1.6437624607347077,-2.9477970747206443,0.3397278467487707,True
stackdd,age21_handgun,single,ra,4,2.0,-0.655268418492494,0.412686341034194,0.1297532390986886,0.1460179505191974,-1.95280080947938,2.9740597230061807,-4.926860532485561,1.0212589135268006,True
