estimator,control_rule,spec,event_time,M_sensitivity,att_original,se_original,pre_trend_slope_b_hat,pre_trend_slope_se,att_trend_adjusted,ci_half_width,ci_low,ci_high,ci_includes_zero
cs21,strict,or,5,0.5,0.3297428146390941,0.2046342472810849,0.0351762259464916,0.0615744317041545,0.2242141367996192,0.5403271424948757,-0.3161130056952564,0.7645412792944949,True
cs21,strict,or,5,1.0,0.3297428146390941,0.2046342472810849,0.0351762259464916,0.0615744317041545,0.1186854589601443,0.827774525447195,-0.7090890664870506,0.9464599844073394,True
cs21,strict,or,5,2.0,0.3297428146390941,0.2046342472810849,0.0351762259464916,0.0615744317041545,-0.0923718967188054,1.5027440371633267,-1.595115933882132,1.4103721404445213,True
cs21,strict,ra,0,0.0,0.0872472041005326,0.082082890745618,0.0267683337144992,0.0346002042652937,0.0872472041005326,0.1608824658614112,-0.0736352617608786,0.2481296699619438,True
cs21,strict,ra,0,0.5,0.0872472041005326,0.082082890745618,0.0267683337144992,0.0346002042652937,0.0738630372432829,0.1644169512583611,-0.0905539140150781,0.238279988501644,True
cs21,strict,ra,0,1.0,0.0872472041005326,0.082082890745618,0.0267683337144992,0.0346002042652937,0.0604788703860333,0.1745916148600289,-0.1141127444739956,0.2350704852460622,True
cs21,strict,ra,0,2.0,0.0872472041005326,0.082082890745618,0.0267683337144992,0.0346002042652937,0.033710536671534,0.2104267674341508,-0.1767162307626167,0.2441373041056848,True
cs21,strict,ra,1,0.0,-0.1052473193985139,0.1202767775746447,0.0267683337144992,0.0346002042652937,-0.1052473193985139,0.2357424840463036,-0.3409898034448175,0.1304951646477897,True
cs21,strict,ra,1,0.5,-0.1052473193985139,0.1202767775746447,0.0267683337144992,0.0346002042652937,-0.1320156531130131,0.2453030430755114,-0.3773186961885246,0.1132873899624982,True
cs21,strict,ra,1,1.0,-0.1052473193985139,0.1202767775746447,0.0267683337144992,0.0346002042652937,-0.1587839868275124,0.2719756890155069,-0.4307596758430193,0.1131917021879944,True
cs21,strict,ra,1,2.0,-0.1052473193985139,0.1202767775746447,0.0267683337144992,0.0346002042652937,-0.212320654256511,0.3593877367257734,-0.5717083909822844,0.1470670824692623,True
cs21,strict,ra,2,0.0,0.2170925675619469,0.0838824598559571,0.0267683337144992,0.0346002042652937,0.2170925675619469,0.1644096213176759,0.0526829462442709,0.3815021888796228,False
cs21,strict,ra,2,0.5,0.2170925675619469,0.0838824598559571,0.0267683337144992,0.0346002042652937,0.1769400669901979,0.1933349889100178,-0.0163949219198198,0.3702750559002158,True
cs21,strict,ra,2,1.0,0.2170925675619469,0.0838824598559571,0.0267683337144992,0.0346002042652937,0.136787566418449,0.2615761858462695,-0.1247886194278205,0.3983637522647186,True
cs21,strict,ra,2,2.0,0.2170925675619469,0.0838824598559571,0.0267683337144992,0.0346002042652937,0.0564825652749512,0.4388585572391904,-0.3823759919642392,0.4953411225141416,True
cs21,strict,ra,3,0.0,0.0597165731358475,0.1410409651461548,0.0267683337144992,0.0346002042652937,0.0597165731358475,0.2764402916864634,-0.2167237185506159,0.3361568648223109,True
cs21,strict,ra,3,0.5,0.0597165731358475,0.1410409651461548,0.0267683337144992,0.0346002042652937,0.0061799057068489,0.3079212423637495,-0.3017413366569005,0.3141011480705984,True
cs21,strict,ra,3,1.0,0.0597165731358475,0.1410409651461548,0.0267683337144992,0.0346002042652937,-0.0473567617221496,0.3873038360154067,-0.4346605977375564,0.3399470742932571,True
cs21,strict,ra,3,2.0,0.0597165731358475,0.1410409651461548,0.0267683337144992,0.0346002042652937,-0.1544300965801467,0.6089001075430233,-0.76333020412317,0.4544700109628765,True
