term,coefficient,std_error,t_stat,p_value_normal,ci95_low,ci95_high,nobs,clusters,rank,stack_id,treated_state,adoption_year,outcome,controls_spec,model
post,0.0019881497294261686,0.01034161358429191,0.1922475359595731,0.8475483119837345,-0.018281412895785977,0.02225771235463831,162,18,32,KY_2019,Kentucky,2019,ln_total_suicide_rate,core_controls,treated_state_average_post
post,-0.1474308681120024,0.01288268305149051,-11.444112031844549,2.516681187904174e-30,-0.1726809268929238,-0.122180809331081,162,18,32,KY_2019,Kentucky,2019,logit_firearm_suicide_share,core_controls,treated_state_average_post
post,0.5621272450461745,0.1463521482550639,3.8409224035884586,0.00012257285923775486,0.27527703446624924,0.8489774556260998,234,26,40,ME_2015,Maine,2015,firearm_suicide_rate,core_controls,treated_state_average_post
post,0.11549382520068083,0.12769102673224403,0.9044787888099641,0.36574157670563456,-0.13478058719451744,0.36576823759587906,234,26,40,ME_2015,Maine,2015,nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,0.6776210702468598,0.16313990403150946,4.153619399677846,3.272573268718639e-05,0.35786685834510124,0.9973752821486184,234,26,40,ME_2015,Maine,2015,total_suicide_rate,core_controls,treated_state_average_post
post,0.01489687142033475,0.008646661151174606,1.7228466757149474,0.08491625549634339,-0.002050584435967477,0.031844327276636976,234,26,40,ME_2015,Maine,2015,firearm_suicide_share,core_controls,treated_state_average_post
post,0.03513484992836522,0.019216873356761737,1.8283333233292351,0.06749954154730407,-0.002530221850887783,0.07279992170761823,234,26,40,ME_2015,Maine,2015,ln_firearm_suicide_rate,core_controls,treated_state_average_post
post,-0.02696647516338284,0.020431805735746263,-1.3198282869440126,0.18689235502364798,-0.06701281440544551,0.013079864078679837,234,26,40,ME_2015,Maine,2015,ln_nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,0.008884609168141535,0.00858867817068337,1.034455942064321,0.3009230634229957,-0.00794920004639787,0.025718418382680942,234,26,40,ME_2015,Maine,2015,ln_total_suicide_rate,core_controls,treated_state_average_post
post,0.06197157011008575,0.03530824909629087,1.755158403382734,0.07923221674694542,-0.007232598118644351,0.13117573833881585,234,26,40,ME_2015,Maine,2015,logit_firearm_suicide_share,core_controls,treated_state_average_post
post,0.8957002706796531,0.12194572929720114,7.345072893013654,2.0564699331321728e-13,0.6566866412571388,1.1347139001021673,225,25,39,MO_2017,Missouri,2017,firearm_suicide_rate,core_controls,treated_state_average_post
post,-0.336737279487916,0.12772332793133528,-2.636458702899972,0.008377639699634239,-0.5870750022333331,-0.08639955674249883,225,25,39,MO_2017,Missouri,2017,nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,0.5589629911917369,0.1985393031588116,2.8153770175400603,0.004872004027437803,0.16982595700046615,0.9481000253830076,225,25,39,MO_2017,Missouri,2017,total_suicide_rate,core_controls,treated_state_average_post
post,0.027588494729514985,0.00421965520028913,6.5380921947425055,6.230851324722349e-11,0.019317970536948288,0.03585901892208168,225,25,39,MO_2017,Missouri,2017,firearm_suicide_share,core_controls,treated_state_average_post
post,0.07157698232175283,0.013229930338568415,5.410231232517437,6.294342288921748e-08,0.04564631885815874,0.09750764578534693,225,25,39,MO_2017,Missouri,2017,ln_firearm_suicide_rate,core_controls,treated_state_average_post
post,-0.043908451255958714,0.016973951801836085,-2.5868137113014016,0.009686794719124531,-0.07717739678755745,-0.01063950572435999,225,25,39,MO_2017,Missouri,2017,ln_nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,0.02590586783332062,0.012605533751577852,2.0551186759607023,0.03986754347147593,0.0011990216802280282,0.05061271398641321,225,25,39,MO_2017,Missouri,2017,ln_total_suicide_rate,core_controls,treated_state_average_post
post,0.11548289410228649,0.017773553664621373,6.497456630305598,8.168923080002054e-11,0.0806467289196286,0.15031905928494438,225,25,39,MO_2017,Missouri,2017,logit_firearm_suicide_share,core_controls,treated_state_average_post
post,-0.23047451276171085,0.09410237916238111,-2.4491890089623434,0.014317829286969931,-0.41491517591997784,-0.046033849603443894,234,26,40,MS_2015,Mississippi,2015,firearm_suicide_rate,core_controls,treated_state_average_post
post,-0.5515985316188196,0.1362021971068385,-4.049850467435115,5.1250370766487186e-05,-0.818554837948223,-0.2846422252894161,234,26,40,MS_2015,Mississippi,2015,nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,-0.7820730443805266,0.14571323310984682,-5.367206723022583,7.996538634376659e-08,-1.0676709812758265,-0.49647510748522683,234,26,40,MS_2015,Mississippi,2015,total_suicide_rate,core_controls,treated_state_average_post
post,0.011270301892417796,0.007137016411362938,1.579133526227318,0.11430543315392566,-0.0027182502738535615,0.025258854058689155,234,26,40,MS_2015,Mississippi,2015,firearm_suicide_share,core_controls,treated_state_average_post
post,-0.026721238597642354,0.011608877281234031,-2.301793528374853,0.02134681869575636,-0.04947463806886106,-0.003967839126423654,234,26,40,MS_2015,Mississippi,2015,ln_firearm_suicide_rate,core_controls,treated_state_average_post
post,-0.08134243435595699,0.02388787650268479,-3.405176443658138,0.0006612131669168638,-0.12816267230121917,-0.03452219641069481,234,26,40,MS_2015,Mississippi,2015,ln_nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,-0.041849446928574896,0.00904859054153972,-4.624968577863591,3.7465519376057483e-06,-0.059584684389992745,-0.024114209467157047,234,26,40,MS_2015,Mississippi,2015,ln_total_suicide_rate,core_controls,treated_state_average_post
post,0.054575041524587975,0.03036374813330585,1.7973749908933303,0.07227610829677009,-0.004937904816691485,0.11408798786586744,234,26,40,MS_2015,Mississippi,2015,logit_firearm_suicide_share,core_controls,treated_state_average_post
post,2.056202342322487,0.273313230303221,7.5232448134372465,5.3433236470915986e-14,1.520508410928174,2.5918962737168005,120,15,28,MT_2021,Montana,2021,firearm_suicide_rate,core_controls,treated_state_average_post
post,0.09719426036463745,0.20215252589186097,0.4807966654674913,0.6306610204134836,-0.29902469038341006,0.493413211112685,120,15,28,MT_2021,Montana,2021,nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,2.15339660268713,0.34871025055066346,6.1753177581863685,6.603053219826143e-10,1.4699245116078294,2.83686869376643,120,15,28,MT_2021,Montana,2021,total_suicide_rate,core_controls,treated_state_average_post
post,0.012475434751222064,0.007151493619261659,1.744451637014823,0.08108036760589887,-0.001541492742530787,0.026492362244974914,120,15,28,MT_2021,Montana,2021,firearm_suicide_share,core_controls,treated_state_average_post
post,0.0919932681391809,0.028240451264964456,3.2574999342630613,0.0011239828441992356,0.03664198365985057,0.14734455261851123,120,15,28,MT_2021,Montana,2021,ln_firearm_suicide_rate,core_controls,treated_state_average_post
post,0.029426563971490682,0.02486525726534691,1.183440961718927,0.23663443149148222,-0.019309340268589256,0.07816246821157062,120,15,28,MT_2021,Montana,2021,ln_nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,0.07425807574447883,0.021513900979610416,3.4516323104236735,0.0005572064866794803,0.03209082982444242,0.11642532166451525,120,15,28,MT_2021,Montana,2021,ln_total_suicide_rate,core_controls,treated_state_average_post
post,0.06222006411132736,0.028106864164742427,2.2136964033638775,0.02684967052440002,0.007130610348432209,0.11730951787422252,120,15,28,MT_2021,Montana,2021,logit_firearm_suicide_share,core_controls,treated_state_average_post
post,-0.27364679430343836,0.18900635996866388,-1.4478179165442229,0.14766798066652986,-0.6440992598420195,0.09680567123514283,225,25,39,ND_2017,North Dakota,2017,firearm_suicide_rate,core_controls,treated_state_average_post
post,-0.02226808421466385,0.2724941317182799,-0.0817195000649991,0.934869771412715,-0.5563565823824925,0.5118204139531648,225,25,39,ND_2017,North Dakota,2017,nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,-0.29591487851809933,0.37914136355734135,-0.7804869290484185,0.4351043182678599,-1.0390319510904884,0.4472021940542897,225,25,39,ND_2017,North Dakota,2017,total_suicide_rate,core_controls,treated_state_average_post
post,-0.007147020047514247,0.008386097013792997,-0.8522462876066443,0.39407741078619973,-0.02358377019454852,0.009289730099520027,225,25,39,ND_2017,North Dakota,2017,firearm_suicide_share,core_controls,treated_state_average_post
post,-0.047585516109698286,0.026037802325729484,-1.8275550107651075,0.0676163630280997,-0.09861960866812808,0.003448576448731498,225,25,39,ND_2017,North Dakota,2017,ln_firearm_suicide_rate,core_controls,treated_state_average_post
post,-0.01921969950425794,0.03853854452466917,-0.4987136836980205,0.6179811032682307,-0.09475524677260952,0.05631584776409363,225,25,39,ND_2017,North Dakota,2017,ln_nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,-0.0358479608151281,0.02848681978690667,-1.2584051530948646,0.20824526923227427,-0.09168212759746516,0.019986205967208966,225,25,39,ND_2017,North Dakota,2017,ln_total_suicide_rate,core_controls,treated_state_average_post
post,-0.027747518040639067,0.03541783334023529,-0.7834335255374697,0.4333725753297403,-0.09716647138750023,0.04167143530622209,225,25,39,ND_2017,North Dakota,2017,logit_firearm_suicide_share,core_controls,treated_state_average_post
post,-0.3439753290392461,0.2875640054530083,-1.196169626644932,0.23163037108075824,-0.9076007797271424,0.21965012164865017,90,15,26,NE_2023,Nebraska,2023,firearm_suicide_rate,core_controls,treated_state_average_post
post,-0.3060084032785968,0.3074051130291085,-0.9954564524423527,0.319514314035683,-0.9085224248156495,0.2965056182584559,90,15,26,NE_2023,Nebraska,2023,nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,-0.6499837323178448,0.5382607723184307,-1.2075628872566617,0.22721544183642617,-1.704974846061969,0.40500738142627934,90,15,26,NE_2023,Nebraska,2023,total_suicide_rate,core_controls,treated_state_average_post
